osm_id,highway,cyclable_status,name,bicycle,cycleway,access,oneway,surface,lit,maxspeed
1471718434,cycleway,legal,,,link,,no,asphalt,,
1471718435,cycleway,legal,,,link,,no,asphalt,,
1474124816,cycleway,legal,,,,,,,,
1474740618,path,legal,,designated,,,no,,,
1474740622,path,legal,,designated,,,,,,
1476085391,tertiary,likely,Rue du 8 mai 1945,,,,,,,
1476787750,path,uncertain,,,,,,,,
1476926876,cycleway,legal,,yes,,,,,,
1476926877,cycleway,legal,Rue du Canal,,,,,asphalt,,
1476926878,path,legal,,designated,,,,,,
1477394697,cycleway,legal,,,,,,concrete,,
1478740651,cycleway,legal,,permit,,,,asphalt,,
1478740653,service,likely,,,,,,asphalt,,
1480718091,cycleway,legal,Rue des Sciences,,,,,asphalt,,30
1486345408,cycleway,legal,,,,,,,,
1486345409,cycleway,legal,,yes,,,no,asphalt,,
1486345411,cycleway,legal,,yes,,,no,asphalt,,
1489729018,cycleway,legal,,,,,,,,
1503539060,service,legal,,yes,,,,compacted,yes,
1503653466,cycleway,legal,,,,,,concrete,,
1503653468,cycleway,legal,,,,,,,,
1503653469,cycleway,legal,,,,,,,,
1503747286,cycleway,legal,,,,,yes,,,
1503747287,cycleway,legal,,,,,yes,,,
1503747288,cycleway,legal,,,,,,,,
1512990799,path,legal,,designated,,,,,,
1512990800,path,legal,,designated,,,,,,
