code_commune,nom_commune,LIBDENS7,predicted_cluster,predicted_name,proba_cluster_0,proba_cluster_1,proba_cluster_2,proba_cluster_3,extrapolated
89298,Piffonds,Rural à habitat dispersé,2,Tourisme rural,0.0193,0.0161,0.5608,0.4039,1
89299,Pimelles,Rural à habitat dispersé,2,Tourisme rural,0.0149,0.0098,0.7685,0.2069,1
89300,Pisy,Rural à habitat dispersé,2,Tourisme rural,0.0216,0.0093,0.6326,0.3366,1
89302,Plessis-Saint-Jean,Rural à habitat dispersé,2,Tourisme rural,0.0227,0.0166,0.5336,0.4271,1
89303,Poilly-sur-Serein,Rural à habitat dispersé,2,Tourisme rural,0.0173,0.0113,0.5809,0.3905,1
89304,Poilly-sur-Tholon,Rural à habitat dispersé,3,Tourisme litoral,0.0152,0.0163,0.4624,0.5061,1
89306,Pontaubert,Rural à habitat dispersé,2,Tourisme rural,0.0198,0.0164,0.6039,0.3599,1
89307,Pontigny,Rural à habitat dispersé,3,Tourisme litoral,0.0179,0.0135,0.4388,0.5299,1
89308,Pont-sur-Vanne,Rural à habitat dispersé,2,Tourisme rural,0.0168,0.0109,0.6735,0.2988,1
89309,Pont-sur-Yonne,Bourgs ruraux,2,Tourisme rural,0.0956,0.0266,0.4747,0.4031,1
89310,La Postolle,Rural à habitat dispersé,2,Tourisme rural,0.0222,0.0168,0.5506,0.4105,1
89311,Pourrain,Rural à habitat dispersé,2,Tourisme rural,0.027,0.0167,0.6388,0.3175,1
89312,Précy-le-Sec,Rural à habitat dispersé,2,Tourisme rural,0.0107,0.0056,0.8211,0.1626,1
89313,Précy-sur-Vrin,Rural à habitat très dispersé,2,Tourisme rural,0.0151,0.0138,0.556,0.4151,1
89314,Prégilbert,Rural à habitat dispersé,2,Tourisme rural,0.0134,0.0156,0.7674,0.2037,1
89315,Préhy,Rural à habitat dispersé,2,Tourisme rural,0.0202,0.0104,0.6243,0.3451,1
89316,Provency,Rural à habitat dispersé,2,Tourisme rural,0.0149,0.0105,0.8173,0.1573,1
89318,Quarré-les-Tombes,Rural à habitat très dispersé,2,Tourisme rural,0.0439,0.0087,0.6748,0.2726,1
89319,Quenne,Rural à habitat dispersé,2,Tourisme rural,0.0116,0.007,0.8508,0.1306,1
89320,Quincerot,Rural à habitat dispersé,2,Tourisme rural,0.0217,0.0112,0.6269,0.3402,1
89321,Ravières,Bourgs ruraux,2,Tourisme rural,0.0187,0.0073,0.8646,0.1094,1
89323,Roffey,Rural à habitat dispersé,2,Tourisme rural,0.0073,0.0064,0.8334,0.1529,1
89324,Rogny-les-Sept-Écluses,Rural à habitat dispersé,2,Tourisme rural,0.0165,0.0268,0.7076,0.2491,1
89325,Ronchères,Rural à habitat très dispersé,2,Tourisme rural,0.0201,0.0139,0.7498,0.2163,1
89326,Rosoy,Rural à habitat dispersé,2,Tourisme rural,0.0549,0.0167,0.5122,0.4162,1
89327,Rousson,Bourgs ruraux,2,Tourisme rural,0.0231,0.0127,0.6045,0.3597,1
89328,Rouvray,Rural à habitat dispersé,3,Tourisme litoral,0.0124,0.0112,0.4865,0.4899,1
89329,Rugny,Rural à habitat dispersé,2,Tourisme rural,0.0186,0.0092,0.6848,0.2874,1
89331,Sainpuits,Rural à habitat très dispersé,2,Tourisme rural,0.0184,0.0121,0.6432,0.3263,1
89332,Saint-Agnan,Rural à habitat dispersé,3,Tourisme litoral,0.0279,0.0222,0.4654,0.4844,1
